Experiment,Molecule Name,Vero-76_MERS-CoV-antiviral-effect_usu: EC50 (Mod),Vero-76_MERS-CoV-antiviral-effect_usu: EC50 (Num) (uM)
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.3
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000226,,3.31
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.81
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000225,,1.12
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,2.81
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000221,,1.98
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000219,,6.22
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,7
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000217,,2.35
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,1.06
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000216,,0.979
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,4.79
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000214,,8.32
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,1.69
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000212,,0.878
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,0.818
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000211,,1.02
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.48
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000209,,2.84
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,4.54
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000207,,8.77
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.09
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000205,,1.07
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.3
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000185,,3.29
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,3.82
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,4.31
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000184,,5.81
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.322
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000175,,0.296
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.678
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000169,,0.76
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,1.01
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000168,,0.977
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.79
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000162,,1.09
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,1.83
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000159,,0.995
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,1.02
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000157,,0.475
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.23
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000155,,1.04
sinai,ASAP-0000153,,0.259
sinai,ASAP-0000153,,0.259
