Molecule Name,MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (uM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM)
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016593,0.435,6.83
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016592,6.191,5.97
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
ASAP-0016591,1.32,6.49
