,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha:19701-MERS2,0.54,0.107,0.355,0.742,0.003,0.002,1205.0,1234.0,1.0
dE:50,49.085,4.976,40.164,58.64,0.142,0.101,1184.0,1187.0,1.0
kcat_DSI,9.881,5.822,0.403,18.985,0.156,0.111,1368.0,1773.0,1.0
logK_I_D,-15.292,3.412,-20.627,-9.592,0.211,0.15,276.0,588.0,1.03
logK_I_DI,-21.649,3.576,-27.611,-16.609,0.224,0.16,262.0,542.0,1.03
logK_I_M,-7.09,4.449,-14.811,-0.253,0.167,0.118,738.0,1201.0,1.01
logK_S_DI,-16.386,3.519,-22.0,-10.377,0.22,0.156,270.0,902.0,1.03
log_sigma_CRC:14973:0,-25.24,0.161,-25.532,-24.938,0.004,0.003,1742.0,2118.0,1.0
