logK_S_M,logK_I_M,logKd,logK_S_D,logK_S_DS,logK_I_D,logK_I_DI,logK_S_DI,kcat_DS,kcat_DSI,kcat_DSS,kcat_MS,Hill Slope,logK_I_D_difference,logK_I_D_abs_difference
-3.1815092415018,-6.52757693621889,-9.88416805667709,-11.4318191853631,-12.7396457133843,-9.86363121880731,-9.86363121880731,-15.5787842600197,31.1411947877146,62.0748115114868,24.7277549987251,0,0.3560899299824253,0.0,0.0
-12.4274175234176,-3.42987903431384,-12.0451636369186,-14.5956046903492,-12.9879890899705,-8.29102589349309,-8.29102589349309,-16.8633661298463,17.8430723373138,27.6995715213998,11.2787241873855,0,0.3793340106067536,0.0,0.0
-6.3307535589342,-8.17752038845047,-11.3322669071052,-9.28862337019527,-4.08089231347526,-15.4686450433587,-15.4686450433587,-13.4416524397768,37.4350945209037,44.8776011150039,6.92993240558426,0,0.8764010809804773,0.0,0.0
-3.23270732972212,-10.9161266388469,-16.3017356602759,-12.280349341712,-7.41736747412989,-5.4321707067294,-5.4321707067294,-15.5016260947199,34.4658594687819,47.7341869881784,24.0433736920066,0,0.5214779086969192,0.0,0.0
-11.1083851037207,-12.4674027631935,-11.2959182549445,-6.4336916740383,-16.6823422902292,-9.70078997994633,-9.70078997994633,-16.5080159819922,17.2641953958257,74.7702922307944,35.8812518793857,0,0.4917868310789497,0.0,0.0
-3.66574136115611,-4.18613739339262,-6.13471272122301,-8.72018658846198,-6.23719019237114,-5.21018968810793,-5.21018968810793,-15.7646422084183,64.0937518458988,0.506964083685307,24.7875295879785,0,0.8850703743132173,0.0,0.0
-7.35363267375296,-16.1944588272548,-11.4492515120227,-3.16341440569935,-4.73031903617224,-15.8381263583386,-15.8381263583386,-15.2714495163159,53.8260926948162,60.4347400948056,40.3790397150151,0,0.8765621336973438,0.0,0.0
-9.67630599122122,-7.66050606920896,-10.6028074401533,-9.22653133048164,-11.0489105926212,-7.83349967816053,-7.83349967816053,-15.5715578593737,56.0898914056015,67.5292359405546,72.1076665259607,0,0.8736407175261485,0.0,0.0
-3.28162497542333,-12.1018598624025,-12.0191034673108,-4.50602211368084,-11.2099248994035,-9.80178618782479,-9.80178618782479,-13.1718992438298,49.1976391164295,43.7092016010778,49.643166112632,0,0.8976168538064975,0.0,0.0
-3.86558297009068,-13.5266804214809,-6.5072963553844,-7.27787278498104,-14.9550706592789,-12.8453220728636,-12.8453220728636,-16.7578211220009,50.7998225475429,42.7486776585923,24.3921549340768,0,0.7931028628195705,0.0,0.0
-4.0215078801699,-14.4377949616816,-15.5637089480199,-5.97988162981439,-12.5786757114762,-13.0969301507925,-13.0969301507925,-15.3686574543817,44.1748258089123,29.7763360959012,55.3669327776879,0,0.8891836197155791,0.0,0.0
-4.36078558006231,-13.919571058521,-11.9667686656318,-11.1096384938234,-3.60197037450643,-11.7828142385459,-11.7828142385459,-14.1914300509933,72.7062814062112,51.8794894467923,45.4386401085241,0,0.6530126995209237,0.0,0.0
-11.6132395464499,-4.45992155593215,-14.5360836929046,-8.86280540041812,-13.8623255261779,-7.39834859069623,-7.39834859069623,-14.7323195236539,1.63384056736249,30.6270574503578,14.0795515703678,0,0.3061740208626842,0.0,0.0
-9.65021464335965,-9.15336248136917,-12.245349949284,-12.0284289057488,-5.68103019704018,-6.74402978836186,-6.74402978836186,-15.4189590939367,51.9438884456875,67.3907805794443,39.4062733516912,0,0.6521057022491968,0.0,0.0
-14.2288513217256,-12.9269320676583,-15.127212070799,-16.0054542534119,-7.25957516194694,-14.1495348242153,-14.1495348242153,-15.1387037027045,43.6902380746091,64.5013175623608,6.42203900164459,0,0.6984747164113436,0.0,0.0
-3.36543662278727,-10.9532420204449,-15.3980805023592,-11.3269462134903,-13.8429022316816,-10.987306018786,-10.987306018786,-13.7342091324488,33.396856626193,73.4936734764953,33.0084794660273,0,0.8320933828303442,0.0,0.0
-6.45277974772966,-6.13574987767451,-11.476324201656,-7.66667682822654,-16.4637160426932,-7.69079643910751,-7.69079643910751,-16.701400210341,44.3939911923429,48.6938152885472,42.2106914509088,0,0.5839246719889803,0.0,0.0
-9.00170045327954,-9.0758168671187,-15.791963741025,-6.80567240157211,-13.9254440692985,-10.1224232022897,-10.1224232022897,-14.3175711202365,37.116963537375,72.0117891024915,49.7975440292736,0,0.3315448620848995,0.0,0.0
-7.76006989107141,-13.6315882742004,-12.9296298862514,-7.11798730733525,-12.7968704998675,-8.25161386883399,-8.25161386883399,-16.909936708617,24.8888315383228,41.6229698765965,40.4820806887583,0,0.8430493706829564,0.0,0.0
-7.07993746917183,-11.3094469258138,-14.2484959912305,-8.60993975195475,-6.87458107590815,-15.227471801355,-15.227471801355,-16.7977932693334,36.5984182664892,43.9326287433389,19.3531535343791,0,0.8604738438619641,0.0,0.0
-4.15768441640353,-9.5598892747825,-8.3169269952001,-11.157651271394,-9.11756641395716,-14.2412338149762,-14.2412338149762,-13.1514362066956,42.8075726373761,33.4451891496254,10.0949618243671,0,0.6703052992555611,0.0,0.0
-4.43902734097233,-9.86198885684879,-5.32629278557701,-12.2407387081115,-11.6519471503864,-9.15296997040371,-9.15296997040371,-16.7200076830857,20.4411447516584,57.9625310451142,46.7701025838323,0,0.7802853336244316,0.0,0.0
-6.02409526838828,-3.39836679599434,-9.98020039883209,-3.77626764319092,-15.8863845384256,-12.7531029220931,-12.7531029220931,-12.7989486741498,29.0277435816068,33.6659772275481,11.2424352344417,0,0.497679123047019,0.0,0.0
-7.88712602159521,-6.85218484035134,-10.7095087949135,-3.29344841487519,-11.4932557105501,-5.53314573522704,-5.53314573522704,-16.6042836926878,22.1614317691885,41.5047845835972,36.3678546568786,0,0.7322959796011155,0.0,0.0
-6.82691952858865,-10.8620217306451,-3.92203203352354,-11.282496770883,-16.9826645685444,-14.4185855655209,-14.4185855655209,-16.3985856030858,18.1724625650095,16.0442894207896,2.79472521910211,0,0.889184847017505,0.0,0.0
-7.96599939846201,-11.3536155703985,-9.80386923077051,-13.3737651224672,-10.4294326400445,-12.2894396046577,-12.2894396046577,-14.5219164796895,4.70096028372645,50.0736126180505,19.97432109238,0,0.558143783637042,0.0,0.0
-4.90002320148237,-10.9081399317845,-11.3173131094365,-8.30345014860202,-5.71613883283781,-9.36382172494615,-9.36382172494615,-12.8978560305019,22.6840139567619,52.5072314159246,9.22135830033221,0,0.8162280652964803,0.0,0.0
-9.58779450406786,-8.71089267892251,-9.28682956214715,-8.68852337751398,-12.1777289641351,-15.6557033234378,-15.6557033234378,-16.4628610271136,45.1596681815281,64.3387045849173,17.4515077671153,0,0.45604019252241346,0.0,0.0
-8.9387590601542,-4.278119350038,-12.5015447399933,-14.3555415596166,-7.40784078834159,-8.86039535544393,-8.86039535544393,-14.9929689907758,58.9648998771503,41.8983475353685,31.1027700871113,0,0.2905643915584078,0.0,0.0
-6.25393728091195,-4.79885398466419,-7.77263748436002,-16.9893822965273,-3.28204273048136,-14.8172389081675,-14.8172389081675,-14.7801947895274,58.8009420480521,16.916528942564,27.4651592071925,0,0.6026560637110926,0.0,0.0
-10.9245144894351,-5.31195786636928,-16.7645152014927,-13.0973410629439,-10.5601558154984,-3.24797127538361,-3.24797127538361,-16.1850849577151,64.9867118475493,63.5978924931027,31.6341777734749,0,0.27355529398031403,0.0,0.0
-3.46853801299213,-3.16881671330566,-10.1603115289127,-11.068940997568,-10.7037820580648,-9.62330331909191,-9.62330331909191,-15.5209497138713,67.4689388298313,28.883540801215,21.0948982048547,0,0.3066233133298147,0.0,0.0
-8.2366320101372,-8.09934861680819,-10.7425793284141,-16.6448897646028,-11.965708516269,-14.3696728294436,-14.3696728294436,-15.8719884681604,24.5692394052807,67.791823771951,30.7898158947879,0,0.693159181320624,0.0,0.0
-7.31438179456815,-10.5989858304476,-8.33317702269461,-6.3924678704259,-8.6566618998074,-9.23764173613023,-9.23764173613023,-15.9985057182242,41.6565319626534,5.61285643443698,56.9020455190097,0,0.8742673773634265,0.0,0.0
-12.0198979784194,-6.94696825169679,-14.7381350560142,-9.78525860447483,-13.5114189199707,-12.1052538597006,-12.1052538597006,-14.1123816012549,69.884904886462,26.7039494049211,6.52901752876933,0,0.632884382833165,0.0,0.0
-4.77472978682025,-16.7936078503509,-13.7886503398092,-4.86582218257571,-6.15560989172757,-14.9175385951875,-14.9175385951875,-14.6570785235451,29.3507603592763,25.7946953178558,63.8150202851335,0,0.8312926576957462,0.0,0.0
-3.93410459187301,-6.53914222865691,-12.4449582237583,-8.45555017538881,-6.96319356377469,-5.64829797739675,-5.64829797739675,-15.5045242455681,50.0131697284814,26.6109238532663,63.3556528423622,0,0.7795545631363446,0.0,0.0
-7.48701209551189,-8.56046338304644,-9.55002384187374,-14.7136986935264,-11.9428572724788,-14.5581435053912,-14.5581435053912,-15.923867942899,40.3564257798367,67.6531290497747,10.6869464152667,0,0.8842952541824861,0.0,0.0
