,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha:19701-MERS2,0.543,0.107,0.363,0.751,0.004,0.003,775.0,981.0,1.0
dE:50,48.964,4.938,39.969,58.203,0.176,0.125,770.0,863.0,1.0
kcat_DSI,9.709,5.647,0.687,18.968,0.188,0.134,866.0,809.0,1.0
logK_I_D,-15.165,3.377,-20.77,-9.731,0.172,0.122,396.0,694.0,1.0
logK_I_DI,-21.875,3.393,-27.476,-16.524,0.172,0.123,394.0,718.0,1.0
logK_I_M,-6.836,4.412,-14.561,-0.015,0.203,0.143,437.0,433.0,1.0
logK_S_DI,-16.509,3.478,-21.834,-10.257,0.177,0.126,392.0,709.0,1.0
log_sigma_CRC:14973:0,-25.241,0.167,-25.523,-24.927,0.005,0.003,1275.0,1235.0,1.0
