,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha:E100_S1350,0.642,0.345,0.306,1.123,0.157,0.119,5.0,12.0,3.2
alpha:E100_S750,0.987,0.438,0.299,1.415,0.206,0.157,5.0,15.0,2.87
dE:100,59.76,12.672,38.15,73.419,4.301,3.15,9.0,122.0,1.46
dE:25,36.961,6.865,22.263,42.84,2.218,1.618,9.0,41.0,2.08
dE:50,54.522,9.717,31.851,62.321,2.965,2.156,9.0,54.0,2.27
kcat_DS,0.479,0.691,0.045,1.442,0.148,0.106,14.0,21.0,2.46
kcat_DSI:1,10.213,5.759,2.384,17.88,2.509,1.882,6.0,22.0,1.87
kcat_DSS,3.36,1.625,0.612,4.74,0.694,0.538,6.0,26.0,2.27
logK_I_D:1,-11.826,4.733,-17.161,-4.431,2.176,1.645,5.0,19.0,2.44
logK_I_DI:1,-11.799,6.577,-19.564,-2.649,3.124,2.373,5.0,21.0,2.41
logK_I_M:1,-8.455,3.382,-12.574,-1.368,1.314,1.061,7.0,23.0,1.75
logK_S_D,-17.602,0.735,-19.93,-16.502,0.126,0.091,16.0,21.0,2.26
logK_S_DI:1,-12.138,4.431,-17.467,-6.381,2.067,1.566,5.0,18.0,2.55
logK_S_DS,-3.327,2.606,-10.094,-1.438,0.923,0.678,9.0,19.0,2.16
logK_S_M,-6.487,3.141,-11.765,-0.803,0.969,0.806,17.0,18.0,2.09
logKd,-10.087,0.303,-10.689,-9.356,0.051,0.036,14.0,53.0,2.08
log_sigma_CRC:00214:0,-21.685,0.972,-23.392,-20.539,0.46,0.349,5.0,14.0,2.94
log_sigma_CRC:00214:1,-20.898,2.663,-25.502,-16.507,1.065,0.792,7.0,12.0,2.34
log_sigma_CRC:ES:0,-25.255,1.549,-28.092,-23.867,0.739,0.562,5.0,12.0,2.68
