MAP index:202

Kinetics parameters:
alpha:E100_S1350 : 1.935
alpha:E100_S750 : 1.940
dE:100 : 77.878
dE:25 : 46.347
dE:50 : 65.752
kcat_DS : 0.218
kcat_DSI:1 : 3.646
kcat_DSS : 4.890
logK_I_D:1 : -17.291
logK_I_DI:1 : -15.323
logK_I_M:1 : -4.931
logK_S_D : -17.418
logK_S_DI:1 : -1.330
logK_S_DS : -4.676
logK_S_M : -7.710
logKd : -10.314
log_sigma_CRC:00153:0 : -21.094
log_sigma_CRC:00153:1 : -22.014
log_sigma_CRC:ES:0 : -23.859
