,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha:E100_S1350,0.972,0.69,0.306,1.915,0.323,0.245,5.0,12.0,3.7
alpha:E100_S750,1.222,0.593,0.299,1.872,0.272,0.206,6.0,15.0,2.77
dE:100,61.303,14.071,33.584,72.521,5.904,4.507,7.0,31.0,2.18
dE:25,37.505,7.737,20.203,42.876,3.417,2.63,5.0,34.0,2.8
dE:50,54.955,11.442,29.516,62.412,5.072,3.908,5.0,21.0,2.59
kcat_DS,1.474,1.443,0.218,4.433,0.611,0.457,6.0,24.0,2.34
kcat_DSI:1,7.78,5.597,0.626,14.511,2.588,1.963,5.0,15.0,2.54
kcat_DSS,3.573,1.342,1.027,4.754,0.58,0.454,6.0,34.0,2.07
logK_I_D:1,-12.001,6.228,-20.125,-2.917,2.962,2.251,5.0,20.0,2.98
logK_I_DI:1,-9.302,5.911,-19.801,-2.478,2.821,2.144,5.0,21.0,3.2
logK_I_M:1,-9.704,3.592,-13.683,-3.61,1.494,1.133,7.0,43.0,1.74
logK_S_D,-16.575,1.363,-17.684,-14.448,0.613,0.462,6.0,24.0,3.9
logK_S_DI:1,-13.708,4.199,-17.468,-4.803,1.908,1.468,5.0,33.0,2.71
logK_S_DS,-1.908,1.018,-3.097,-0.044,0.19,0.14,12.0,20.0,2.26
logK_S_M,-8.096,3.364,-11.887,-4.82,1.571,1.191,6.0,15.0,1.87
logKd,-10.281,0.512,-11.035,-9.531,0.206,0.155,7.0,42.0,2.54
log_sigma_CRC:00153:0,-21.75,1.111,-23.736,-20.158,0.511,0.386,5.0,31.0,2.71
log_sigma_CRC:00153:1,-21.452,1.644,-23.609,-18.962,0.764,0.578,5.0,45.0,2.54
log_sigma_CRC:ES:0,-25.235,1.547,-28.092,-23.805,0.738,0.561,5.0,12.0,3.06
