,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
logK_S_M,-8.45,0.657,-9.588,-7.127,0.045,0.032,224.0,488.0,1.02
logKd,-10.079,0.49,-11.02,-9.157,0.032,0.022,241.0,366.0,1.03
log_sigma:00153:0,-23.259,0.234,-23.69,-22.835,0.005,0.004,1886.0,2840.0,1.0
log_sigma:00153:1,-25.773,0.272,-26.289,-25.272,0.011,0.008,587.0,1142.0,1.01
log_sigma:00153:2,-23.162,0.24,-23.607,-22.705,0.006,0.004,1485.0,2352.0,1.0
log_sigma:00153:3,-24.564,0.239,-24.994,-24.105,0.006,0.004,1499.0,2398.0,1.0
log_sigma:00214:0,-23.133,0.301,-23.678,-22.557,0.008,0.006,1587.0,2850.0,1.0
log_sigma:00214:1,-25.606,0.236,-26.021,-25.144,0.007,0.005,1132.0,1618.0,1.0
log_sigma:00214:2,-22.664,0.248,-23.118,-22.179,0.008,0.006,1001.0,1870.0,1.0
log_sigma:00214:3,-23.948,0.255,-24.424,-23.483,0.008,0.006,984.0,2158.0,1.0
log_sigma:00223:0,-23.243,0.222,-23.646,-22.823,0.006,0.005,1244.0,1710.0,1.0
log_sigma:00223:1,-25.702,0.226,-26.122,-25.283,0.008,0.006,813.0,951.0,1.0
log_sigma:00223:2,-23.3,0.228,-23.697,-22.861,0.006,0.005,1317.0,1697.0,1.01
log_sigma:00223:3,-24.822,0.231,-25.246,-24.383,0.006,0.004,1466.0,2162.0,1.0
log_sigma:00272:0,-24.908,0.274,-25.404,-24.379,0.009,0.007,899.0,1554.0,1.01
log_sigma:00272:1,-26.737,0.282,-27.24,-26.189,0.008,0.006,1286.0,3232.0,1.0
log_sigma:00272:2,-22.977,0.224,-23.367,-22.533,0.008,0.006,806.0,2276.0,1.01
log_sigma:00272:3,-24.413,0.249,-24.871,-23.945,0.009,0.007,715.0,1948.0,1.0
log_sigma:00577:0,-23.081,0.237,-23.506,-22.63,0.007,0.005,1288.0,1868.0,1.0
log_sigma:00577:1,-25.693,0.238,-26.122,-25.236,0.007,0.005,1106.0,1722.0,1.0
log_sigma:00577:2,-23.035,0.219,-23.442,-22.627,0.005,0.004,1971.0,2508.0,1.0
log_sigma:00577:3,-24.658,0.246,-25.111,-24.199,0.008,0.006,939.0,1177.0,1.0
log_sigma:00654:0,-23.088,0.414,-23.838,-22.359,0.035,0.025,146.0,850.0,1.02
log_sigma:00654:1,-25.384,0.247,-25.833,-24.913,0.007,0.005,1171.0,1332.0,1.0
log_sigma:00654:2,-23.876,0.313,-24.426,-23.259,0.011,0.008,790.0,1352.0,1.01
log_sigma:00654:3,-25.241,0.26,-25.68,-24.722,0.008,0.006,1147.0,1250.0,1.0
log_sigma:00733:0,-24.995,0.362,-25.642,-24.342,0.021,0.015,399.0,215.0,1.01
log_sigma:00733:1,-26.348,0.241,-26.788,-25.901,0.006,0.005,1507.0,1808.0,1.0
log_sigma:00733:2,-22.976,0.216,-23.38,-22.579,0.006,0.004,1232.0,1843.0,1.0
log_sigma:00733:3,-24.243,0.239,-24.679,-23.797,0.007,0.005,1068.0,1392.0,1.0
log_sigma:00773:0,-23.628,0.235,-24.048,-23.185,0.006,0.004,1600.0,2035.0,1.0
log_sigma:00773:1,-25.658,0.234,-26.085,-25.217,0.006,0.004,1584.0,1986.0,1.0
log_sigma:00773:2,-23.407,0.22,-23.809,-22.995,0.005,0.004,1720.0,2514.0,1.0
