,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_sigma:00214:3,-23.953,0.248,-24.404,-23.485,0.009,0.006,798.0,934.0,1.0
log_sigma:00223:0,-23.243,0.221,-23.63,-22.817,0.012,0.008,376.0,789.0,1.02
log_sigma:00223:1,-25.728,0.217,-26.127,-25.32,0.009,0.007,588.0,679.0,1.0
log_sigma:00223:2,-23.328,0.219,-23.719,-22.912,0.011,0.007,464.0,536.0,1.01
log_sigma:00223:3,-24.82,0.227,-25.25,-24.397,0.009,0.006,664.0,970.0,1.01
log_sigma:00272:0,-24.888,0.283,-25.405,-24.361,0.014,0.01,435.0,763.0,1.01
log_sigma:00272:1,-26.757,0.266,-27.251,-26.279,0.012,0.009,471.0,942.0,1.01
log_sigma:00272:2,-22.959,0.222,-23.366,-22.538,0.008,0.006,705.0,1203.0,1.01
log_sigma:00272:3,-24.423,0.248,-24.868,-23.969,0.011,0.008,512.0,754.0,1.01
log_sigma:00577:0,-23.083,0.234,-23.5,-22.634,0.011,0.008,477.0,586.0,1.0
log_sigma:00577:1,-25.709,0.233,-26.147,-25.29,0.011,0.008,427.0,778.0,1.01
log_sigma:00577:2,-23.029,0.221,-23.443,-22.627,0.006,0.005,1242.0,1289.0,1.0
log_sigma:00577:3,-24.681,0.25,-25.135,-24.242,0.016,0.012,266.0,332.0,1.02
log_sigma:00654:0,-23.045,0.411,-23.762,-22.285,0.065,0.046,42.0,517.0,1.08
log_sigma:00654:1,-25.364,0.251,-25.836,-24.899,0.011,0.008,515.0,1126.0,1.0
log_sigma:00654:2,-23.908,0.306,-24.498,-23.353,0.02,0.014,256.0,407.0,1.01
log_sigma:00654:3,-25.25,0.263,-25.728,-24.771,0.014,0.01,453.0,365.0,1.01
log_sigma:00733:0,-24.982,0.351,-25.629,-24.383,0.029,0.021,161.0,470.0,1.03
log_sigma:00733:1,-26.353,0.237,-26.773,-25.898,0.008,0.006,833.0,903.0,1.0
log_sigma:00733:2,-22.965,0.213,-23.368,-22.571,0.008,0.006,663.0,1323.0,1.01
log_sigma:00733:3,-24.257,0.227,-24.682,-23.84,0.011,0.008,455.0,823.0,1.0
log_sigma:00773:0,-23.634,0.232,-24.053,-23.2,0.011,0.008,496.0,619.0,1.01
log_sigma:00773:1,-25.669,0.232,-26.083,-25.217,0.01,0.007,597.0,920.0,1.01
log_sigma:00773:2,-23.393,0.23,-23.832,-22.978,0.01,0.007,619.0,899.0,1.0
log_sigma:00773:3,-24.733,0.237,-25.181,-24.294,0.01,0.007,569.0,847.0,1.01
log_sigma:08374:0,-23.598,0.222,-24.014,-23.186,0.011,0.007,461.0,577.0,1.01
log_sigma:08374:1,-25.65,0.21,-26.036,-25.25,0.007,0.005,1051.0,1403.0,1.0
log_sigma:08374:2,-23.692,0.225,-24.079,-23.261,0.013,0.009,309.0,779.0,1.01
log_sigma:08374:3,-24.674,0.223,-25.091,-24.272,0.014,0.01,265.0,427.0,1.01
log_sigma:08401:0,-23.151,0.214,-23.533,-22.741,0.006,0.004,1218.0,1377.0,1.0
log_sigma:08401:1,-25.633,0.225,-26.033,-25.192,0.01,0.007,492.0,602.0,1.01
log_sigma:08401:2,-23.19,0.241,-23.63,-22.736,0.017,0.012,211.0,278.0,1.02
log_sigma:08401:3,-24.758,0.23,-25.177,-24.325,0.009,0.007,633.0,708.0,1.01
log_sigma:08420:0,-23.568,0.23,-24.006,-23.139,0.01,0.007,532.0,790.0,1.01
log_sigma:08420:1,-25.844,0.232,-26.265,-25.394,0.008,0.005,925.0,1718.0,1.01
log_sigma:08420:2,-23.3,0.233,-23.7,-22.837,0.012,0.009,376.0,511.0,1.0
