Log10_Inhibitor,Percentage_Activity
-13.81551056,28.43887803
-13.39685872,43.89834246
-12.97820689,62.02722072
-12.55955505,80.57548764
-12.14090322,95.19372101
-11.72225138,100
-11.30359955,90.72015728
-10.88494771,69.6580281
-10.46629588,45.36488662
-10.04764404,24.87598076
-9.62899221,10.05212881
-9.21034037,0
