Molecule Name,IC50 (uM),Hill
ASAP-0013735,23.042,2.571
ASAP-0013731,2.365,3.78
ASAP-0013722,0.471,3.745
ASAP-0013721,10.367,5.207
ASAP-0013720,10.344,5.563
ASAP-0013719,10.818,7.124
ASAP-0013716,10.192,6.046
ASAP-0013715,9.534,7.928
ASAP-0013646,3.616,1.302
ASAP-0013612,17.244,1.052
ASAP-0013423,8.075,4.043
ASAP-0013423,5.503,2.122
ASAP-0013414,0.802,2.509
ASAP-0013414,0.471,2.484
ASAP-0013413,1.721,2.825
ASAP-0013413,1.181,2.498
ASAP-0013412,2.313,4.683
ASAP-0013412,1.511,2.543
ASAP-0013407,8.277,4.242
ASAP-0013407,5.186,2.357
ASAP-0013405,9.82,19.776
ASAP-0013405,7.108,3.166
ASAP-0013398,1.198,2.9
ASAP-0013398,0.817,2.43
ASAP-0013397,1.816,3.086
ASAP-0013397,1.261,2.8
ASAP-0013307,2.457,3.943
ASAP-0013305,10.194,5.643
ASAP-0013301,1.478,2.901
ASAP-0013300,0.41,2.751
ASAP-0013299,0.133,3.085
ASAP-0013299,0.221,1.8
ASAP-0013299,0.399,1.965
ASAP-0013298,0.494,2.773
ASAP-0013279,13.172,0.792
ASAP-0013274,1.792,2.808
ASAP-0013273,0.882,2.528
ASAP-0013272,2.406,3.659
ASAP-0013267,5.447,2.686
ASAP-0013266,2.145,3.289
ASAP-0013265,1.204,3.278
ASAP-0013264,2.286,3.313
ASAP-0013263,2.613,9.959
ASAP-0013262,9.773,12.499
ASAP-0013249,0.637,1.29
ASAP-0012339,9.084,5.928
ASAP-0012337,2.57,14.498
ASAP-0012335,5.841,2.48
ASAP-0012333,7.698,3.047
ASAP-0012331,7.948,3.777
ASAP-0011532,32.995,8.005
ASAP-0011531,31.812,14.353
ASAP-0011529,18.972,2.375
ASAP-0011528,1.568,2.592
ASAP-0011513,1.574,2.888
ASAP-0011485,2.351,4.028
ASAP-0011445,1.301,2.987
ASAP-0011430,13.77,2.741
ASAP-0011368,9.793,6.894
ASAP-0011359,2.213,3.848
ASAP-0011347,10.013,10.647
ASAP-0011343,2.498,6.583
ASAP-0011202,9.624,7.498
ASAP-0011200,9.012,5.511
ASAP-0011143,9.567,13.267
ASAP-0011141,2.598,14.328
ASAP-0011141,2.527,4.435
