Experiment,Cell,Molecule Name,IC50 (uM),Hill,PGP,Hour_after
Mavda,TMPRSS2,ASAP-0013891,1.29,,1,48
Mavda,TMPRSS2,ASAP-0013891,0.986,-5.67,1,48
Mavda,TMPRSS2,ASAP-0013890,0.783,-3.74,1,48
Mavda,TMPRSS2,ASAP-0013890,0.621,-3.38,1,48
Mavda,TMPRSS2,ASAP-0013731,2.22,-3.79,1,48
Mavda,TMPRSS2,ASAP-0013731,2.32,-3.4,1,48
Mavda,TMPRSS2,ASAP-0013722,0.145,-2.42,1,48
Mavda,TMPRSS2,ASAP-0013722,0.187,-3.32,1,48
Mavda,TMPRSS2,ASAP-0013722,0.246,-2.19,1,48
Mavda,TMPRSS2,ASAP-0013721,4.37,-2.35,1,48
Mavda,TMPRSS2,ASAP-0013721,5.1,-2.88,1,48
Mavda,TMPRSS2,ASAP-0013720,2.85,-5.27,1,48
Mavda,TMPRSS2,ASAP-0013720,2.78,-2.78,1,48
Mavda,TMPRSS2,ASAP-0013719,2.87,-3.16,1,48
Mavda,TMPRSS2,ASAP-0013719,3.92,-2.65,1,48
Mavda,TMPRSS2,ASAP-0013423,1.32,-13.9,1,48
Mavda,TMPRSS2,ASAP-0013423,1.93,-3.43,1,48
Mavda,TMPRSS2,ASAP-0013414,0.185,-2.6,1,48
Mavda,TMPRSS2,ASAP-0013414,0.35,-2.11,1,48
Mavda,TMPRSS2,ASAP-0013414,0.362,-5.36,1,48
Mavda,TMPRSS2,ASAP-0013413,1.15,-4.49,1,48
Mavda,TMPRSS2,ASAP-0013413,1.33,-17.4,1,48
Mavda,TMPRSS2,ASAP-0013412,2.31,-8.31,1,48
Mavda,TMPRSS2,ASAP-0013412,3.06,-24.8,1,48
Mavda,TMPRSS2,ASAP-0013407,1.15,-15.6,1,48
Mavda,TMPRSS2,ASAP-0013407,1.37,-12.7,1,48
Mavda,TMPRSS2,ASAP-0013405,1.37,-17.1,1,48
Mavda,TMPRSS2,ASAP-0013405,2.01,-3.8,1,48
Mavda,TMPRSS2,ASAP-0013398,0.315,-2.23,1,48
Mavda,TMPRSS2,ASAP-0013398,0.676,-3.21,1,48
Mavda,TMPRSS2,ASAP-0013398,0.877,-3.1,1,48
Mavda,TMPRSS2,ASAP-0013397,1.08,-5.39,1,48
Mavda,TMPRSS2,ASAP-0013397,1.22,-10.2,1,48
Mavda,TMPRSS2,ASAP-0013307,1.25,-13.3,1,48
Mavda,TMPRSS2,ASAP-0013307,1.27,-14.8,1,48
Mavda,TMPRSS2,ASAP-0013305,2.83,-3.27,1,48
Mavda,TMPRSS2,ASAP-0013305,3.06,-2.49,1,48
Mavda,TMPRSS2,ASAP-0013301,1.29,-8.04,1,48
Mavda,TMPRSS2,ASAP-0013301,1.33,-11,1,48
Mavda,TMPRSS2,ASAP-0013300,1.48,-3.8,1,48
Mavda,TMPRSS2,ASAP-0013300,2.97,-4.1,1,48
Mavda,TMPRSS2,ASAP-0013299,0.055,-2.61,1,48
Mavda,TMPRSS2,ASAP-0013299,0.09,-3.36,1,48
Mavda,TMPRSS2,ASAP-0013299,0.095,-2.78,1,48
Mavda,TMPRSS2,ASAP-0013298,0.197,-2.7,1,48
Mavda,TMPRSS2,ASAP-0013298,0.492,-3.23,1,48
Mavda,TMPRSS2,ASAP-0013298,0.706,-5.33,1,48
Mavda,TMPRSS2,ASAP-0013279,36,1.52,1,48
Mavda,TMPRSS2,ASAP-0013274,1.05,-9.64,1,48
Mavda,TMPRSS2,ASAP-0013274,1.36,-6.8,1,48
Mavda,TMPRSS2,ASAP-0013273,0.373,-2.84,1,48
Mavda,TMPRSS2,ASAP-0013273,0.639,-2.66,1,48
Mavda,TMPRSS2,ASAP-0013273,0.653,-2.83,1,48
Mavda,TMPRSS2,ASAP-0013272,1.11,-3.72,1,48
Mavda,TMPRSS2,ASAP-0013272,1.35,-9.72,1,48
Mavda,TMPRSS2,ASAP-0013266,4.7,-2.42,1,48
Mavda,TMPRSS2,ASAP-0013266,5.81,-2.33,1,48
Mavda,TMPRSS2,ASAP-0013265,0.309,-1.86,1,48
Mavda,TMPRSS2,ASAP-0013265,0.363,-1.35,1,48
Mavda,TMPRSS2,ASAP-0013265,0.525,-3.35,1,48
Mavda,TMPRSS2,ASAP-0013263,1.26,-14.6,1,48
Mavda,TMPRSS2,ASAP-0013263,2.38,-2.56,1,48
Mavda,TMPRSS2,ASAP-0013262,1.95,-3.77,1,48
Mavda,TMPRSS2,ASAP-0013262,2.01,-3.18,1,48
Mavda,TMPRSS2,ASAP-0013249,1.54,-2.93,1,48
Mavda,TMPRSS2,ASAP-0013249,2.42,-1.8,1,48
Mavda,TMPRSS2,ASAP-0012339,2.95,-4.16,1,48
Mavda,TMPRSS2,ASAP-0012339,3.52,-8.97,1,48
Mavda,TMPRSS2,ASAP-0012337,0.362,-2.33,1,48
Mavda,TMPRSS2,ASAP-0012337,0.742,-4.26,1,48
Mavda,TMPRSS2,ASAP-0012337,0.949,-3.97,1,48
Mavda,TMPRSS2,ASAP-0012335,1.13,-14.6,1,48
Mavda,TMPRSS2,ASAP-0012335,1.24,-14.3,1,48
Mavda,TMPRSS2,ASAP-0012333,1.32,,1,48
Mavda,TMPRSS2,ASAP-0012333,1.29,-6.89,1,48
Mavda,TMPRSS2,ASAP-0012331,2.19,-4.09,1,48
Mavda,TMPRSS2,ASAP-0012331,2.33,-2.95,1,48
Mavda,TMPRSS2,ASAP-0011528,0.832,-3.36,1,48
Mavda,TMPRSS2,ASAP-0011528,0.563,-3.5,1,48
Mavda,TMPRSS2,ASAP-0011513,1.21,-9.58,1,48
Mavda,TMPRSS2,ASAP-0011513,1.2,-9.33,1,48
Mavda,TMPRSS2,ASAP-0011485,0.739,-2.89,1,48
Mavda,TMPRSS2,ASAP-0011485,0.341,-1.35,1,48
Mavda,TMPRSS2,ASAP-0011485,0.522,-1.08,1,48
Mavda,TMPRSS2,ASAP-0011445,0.643,-2.36,1,48
Mavda,TMPRSS2,ASAP-0011445,1.02,-3.23,1,48
Mavda,TMPRSS2,ASAP-0011430,2.67,-2.5,1,48
Mavda,TMPRSS2,ASAP-0011430,3.97,-2.25,1,48
Mavda,TMPRSS2,ASAP-0011368,2.8,-3.4,1,48
Mavda,TMPRSS2,ASAP-0011368,3.27,-2.99,1,48
Mavda,TMPRSS2,ASAP-0011359,1.16,-14.7,1,48
Mavda,TMPRSS2,ASAP-0011359,1.2,-14.8,1,48
Mavda,TMPRSS2,ASAP-0011347,2.46,-2.65,1,48
Mavda,TMPRSS2,ASAP-0011347,2.64,-1.73,1,48
Mavda,TMPRSS2,ASAP-0011343,1.23,-8.34,1,48
Mavda,TMPRSS2,ASAP-0011343,1.29,-11.1,1,48
Mavda,TMPRSS2,ASAP-0011202,4.55,-21.2,1,48
Mavda,TMPRSS2,ASAP-0011202,5.52,-5.95,1,48
Mavda,TMPRSS2,ASAP-0011200,8.61,-3.04,1,48
Mavda,TMPRSS2,ASAP-0011200,8.02,-3.9,1,48
Mavda,TMPRSS2,ASAP-0011143,2.97,-2.99,1,48
Mavda,TMPRSS2,ASAP-0011143,2.58,-2.67,1,48
Mavda,TMPRSS2,ASAP-0011141,0.964,-2.26,1,48
Mavda,TMPRSS2,ASAP-0011141,0.487,-1.25,1,48
Mavda,TMPRSS2,ASAP-0011141,0.635,-1.38,1,48
Mavda,TMPRSS2,ASAP-0011140,2.28,-1.55,1,48
Mavda,TMPRSS2,ASAP-0011140,2.98,-2.76,1,48
Mavda,TMPRSS2,ASAP-0011139,6.98,-2.19,1,48
Mavda,TMPRSS2,ASAP-0011139,9.1,-3.47,1,48
Mavda,TMPRSS2,ASAP-0011138,0.849,-3.12,1,48
Mavda,TMPRSS2,ASAP-0011138,0.736,-1.12,1,48
Mavda,TMPRSS2,ASAP-0011138,0.901,-1.08,1,48
Mavda,TMPRSS2,ASAP-0011137,0.281,-2.51,1,48
Mavda,TMPRSS2,ASAP-0011137,0.131,-5.96,1,48
Mavda,TMPRSS2,ASAP-0011137,0.11,-2.28,1,48
Mavda,TMPRSS2,ASAP-0011133,4.42,-3.13,1,48
Mavda,TMPRSS2,ASAP-0011133,5.96,-2.6,1,48
Mavda,TMPRSS2,ASAP-0011129,0.293,-2.29,1,48
Mavda,TMPRSS2,ASAP-0011129,0.528,-2.34,1,48
Mavda,TMPRSS2,ASAP-0011129,0.693,-2.93,1,48
Mavda,TMPRSS2,ASAP-0011124,3.81,,1,48
Mavda,TMPRSS2,ASAP-0011124,3.17,-5.12,1,48
Mavda,TMPRSS2,ASAP-0011059,1.8,-3.14,1,48
Mavda,TMPRSS2,ASAP-0011059,1.9,-3.31,1,48
Mavda,TMPRSS2,ASAP-0011049,2.56,-3.71,1,48
Mavda,TMPRSS2,ASAP-0011049,2.15,-2.3,1,48
Mavda,TMPRSS2,ASAP-0011034,2.9,-2.95,1,48
Mavda,TMPRSS2,ASAP-0011034,3.47,-2.45,1,48
Mavda,TMPRSS2,ASAP-0010750,36,,1,48
Mavda,TMPRSS2,ASAP-0010743,1.51,-5.62,1,48
Mavda,TMPRSS2,ASAP-0010743,1.66,-4.59,1,48
Mavda,TMPRSS2,ASAP-0010738,13.9,-1.6,1,48
Mavda,TMPRSS2,ASAP-0010738,22.9,-1.38,1,48
Mavda,TMPRSS2,ASAP-0010736,36,,1,48
Mavda,TMPRSS2,ASAP-0010734,36,,1,48
Mavda,TMPRSS2,ASAP-0010721,36,-1.03,1,48
Mavda,TMPRSS2,ASAP-0010712,5.55,-2.52,1,48
Mavda,TMPRSS2,ASAP-0010712,6.3,-2.84,1,48
Mavda,TMPRSS2,ASAP-0010711,3.7,-2.82,1,48
Mavda,TMPRSS2,ASAP-0010711,4.58,-2.03,1,48
Mavda,TMPRSS2,ASAP-0008675,4.5,-2.3,1,48
Mavda,TMPRSS2,ASAP-0008675,6.72,-2.57,1,48
Mavda,TMPRSS2,ASAP-0008672,3.81,-2.91,1,48
Mavda,TMPRSS2,ASAP-0008672,3.56,-2.56,1,48
Mavda,TMPRSS2,ASAP-0008669,3.76,-4.44,1,48
Mavda,TMPRSS2,ASAP-0008669,4.22,-2.58,1,48
Mavda,TMPRSS2,ASAP-0008665,1.95,-2.82,1,48
Mavda,TMPRSS2,ASAP-0008665,3.02,-3.57,1,48
Mavda,TMPRSS2,ASAP-0008653,10.8,-4.02,1,48
Mavda,TMPRSS2,ASAP-0008653,9.14,-2.62,1,48
Mavda,TMPRSS2,ASAP-0008642,13.6,-8.49,1,48
Mavda,TMPRSS2,ASAP-0008642,10.8,-2.74,1,48
Mavda,TMPRSS2,ASAP-0008639,5.15,-2.25,1,48
Mavda,TMPRSS2,ASAP-0008639,5.43,-2.4,1,48
Mavda,TMPRSS2,ASAP-0008502,2.87,-3.58,1,48
Mavda,TMPRSS2,ASAP-0008502,2.85,-2.81,1,48
Mavda,TMPRSS2,ASAP-0008489,5.59,-2.55,1,48
Mavda,TMPRSS2,ASAP-0008489,7.32,-2.44,1,48
Mavda,TMPRSS2,ASAP-0008479,7.3,-2.48,1,48
