Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),Hill (Num),PGP,Hour_after,IC90 (Num) (uM),IC90 (Mod)
Mavda,TMPRSS2,ASAP-0015108,3.5,=,-21.3,1,48,,
Mavda,TMPRSS2,ASAP-0015108,1.19,=,-4.04,1,48,,
Mavda,TMPRSS2,ASAP-0015099,0.593,=,-3.76,1,48,,
Mavda,TMPRSS2,ASAP-0015099,0.542,=,-3.26,1,48,,
Mavda,TMPRSS2,ASAP-0015096,0.821,=,-4.02,1,48,,
Mavda,TMPRSS2,ASAP-0015096,0.636,=,-3.85,1,48,,
Mavda,TMPRSS2,ASAP-0015092,0.601,=,-3.32,1,48,,
Mavda,TMPRSS2,ASAP-0015092,0.33,=,-2.33,1,48,,
Mavda,TMPRSS2,ASAP-0015085,0.764,=,-3.09,1,48,,
Mavda,TMPRSS2,ASAP-0015085,0.686,=,-2.44,1,48,,
Mavda,TMPRSS2,ASAP-0014973,1.41,=,-14.4,1,48,,
Mavda,TMPRSS2,ASAP-0014973,8.47,=,-1.91,1,48,,
Mavda,TMPRSS2,ASAP-0014970,0.307,=,-3.22,1,48,,
Mavda,TMPRSS2,ASAP-0014970,0.42,=,-9.77,1,48,,
Mavda,TMPRSS2,ASAP-0014966,1.85,=,-3.36,1,48,,
Mavda,TMPRSS2,ASAP-0014966,2.02,=,-3.6,1,48,,
Mavda,TMPRSS2,ASAP-0014963,9.77,=,-1.27,1,48,,
Mavda,TMPRSS2,ASAP-0014963,11.9,=,-9.22,1,48,,
Mavda,TMPRSS2,ASAP-0014948,2.02,=,-3.59,1,48,,
Mavda,TMPRSS2,ASAP-0014948,2.22,=,-3.67,1,48,,
Mavda,TMPRSS2,ASAP-0014936,1.72,=,-2.7,1,48,,
Mavda,TMPRSS2,ASAP-0014936,2.22,=,-3.4,1,48,,
Mavda,TMPRSS2,ASAP-0014925,0.277,=,-4.13,1,48,,
Mavda,TMPRSS2,ASAP-0014925,0.188,=,-4.78,1,48,,
Mavda,TMPRSS2,ASAP-0014900,0.938,=,-4.89,1,48,,
Mavda,TMPRSS2,ASAP-0014900,0.58,=,-3.74,1,48,,
Mavda,TMPRSS2,ASAP-0014889,36,>,,1,48,,
Mavda,TMPRSS2,ASAP-0014889,36,>,,1,48,,
Mavda,TMPRSS2,ASAP-0014888,36,>,-0.419,1,48,,
Mavda,TMPRSS2,ASAP-0014888,12.3,=,-11.5,1,48,,
Mavda,TMPRSS2,ASAP-0014882,3.88,=,-13.7,1,48,,
Mavda,TMPRSS2,ASAP-0014882,3.43,=,-8.67,1,48,,
Mavda,TMPRSS2,ASAP-0014881,2.58,=,-4.34,1,48,,
Mavda,TMPRSS2,ASAP-0014881,1.48,=,-3.49,1,48,,
Mavda,TMPRSS2,ASAP-0014791,10.5,=,-3.2,1,48,,
Mavda,TMPRSS2,ASAP-0014791,7.85,=,-3.81,1,48,,
Mavda,TMPRSS2,ASAP-0014789,3.44,=,-14.8,1,48,,
Mavda,TMPRSS2,ASAP-0014789,2.41,=,-4.27,1,48,,
Mavda,TMPRSS2,ASAP-0014784,4.18,=,-2.31,1,48,,
Mavda,TMPRSS2,ASAP-0014784,3.84,=,-4.1,1,48,,
Mavda,TMPRSS2,ASAP-0014776,0.443,=,-13.4,1,48,,
Mavda,TMPRSS2,ASAP-0014776,0.276,=,-3.15,1,48,,
Mavda,TMPRSS2,ASAP-0014773,0.469,=,-3.85,1,48,,
Mavda,TMPRSS2,ASAP-0014773,0.303,=,-2.87,1,48,,
