Experiment,Cell,Molecule Name,IC50 (uM),Hill,PGP,Hour_after
Mavda,TMPRSS2,ASAP-0014764,0.496,,1,72
Mavda,TMPRSS2,ASAP-0014762,2.23,2.46,1,72
Mavda,TMPRSS2,ASAP-0014762,2.06,1.33,1,72
Mavda,TMPRSS2,ASAP-0014758,3.17,2.61,1,72
Mavda,TMPRSS2,ASAP-0014758,3.26,2.06,1,72
Mavda,TMPRSS2,ASAP-0014753,0.302,2.33,1,72
Mavda,TMPRSS2,ASAP-0014753,0.289,2.19,1,72
Mavda,TMPRSS2,ASAP-0014750,0.116,2.61,1,72
Mavda,TMPRSS2,ASAP-0014750,0.133,6.4,1,72
Mavda,TMPRSS2,ASAP-0014745,2.41,2.26,1,72
Mavda,TMPRSS2,ASAP-0014745,2.5,3.03,1,72
Mavda,TMPRSS2,ASAP-0014717,0.425,2.01,1,72
Mavda,TMPRSS2,ASAP-0014717,0.408,2.26,1,72
Mavda,TMPRSS2,ASAP-0014632,1.63,1.74,1,72
Mavda,TMPRSS2,ASAP-0014632,2.24,2.42,1,72
Mavda,TMPRSS2,ASAP-0014612,4.54,6,1,72
Mavda,TMPRSS2,ASAP-0014612,4.18,,1,72
Mavda,TMPRSS2,ASAP-0014551,2.56,2.24,1,72
Mavda,TMPRSS2,ASAP-0014551,2.37,1.52,1,72
Mavda,TMPRSS2,ASAP-0013925,0.303,2.47,1,72
Mavda,TMPRSS2,ASAP-0013925,0.33,2.11,1,72
Mavda,TMPRSS2,ASAP-0013898,0.449,12.7,1,72
Mavda,TMPRSS2,ASAP-0013898,0.426,2.48,1,72
Mavda,TMPRSS2,ASAP-0013894,0.687,3.2,1,72
Mavda,TMPRSS2,ASAP-0013894,0.713,2.82,1,72
Mavda,TMPRSS2,ASAP-0013892,6.99,2.19,1,72
Mavda,TMPRSS2,ASAP-0013892,5.9,1.62,1,72
Mavda,TMPRSS2,ASAP-0013891,0.538,2.37,1,72
Mavda,TMPRSS2,ASAP-0013891,0.474,2.16,1,72
Mavda,TMPRSS2,ASAP-0013890,0.347,1.63,1,72
Mavda,TMPRSS2,ASAP-0013890,0.388,2.4,1,72
Mavda,TMPRSS2,ASAP-0013731,1.37,12.7,1,72
Mavda,TMPRSS2,ASAP-0013731,1.35,13.6,1,72
Mavda,TMPRSS2,ASAP-0013722,0.121,1.76,1,72
Mavda,TMPRSS2,ASAP-0013722,0.149,1.5,1,72
Mavda,TMPRSS2,ASAP-0013721,1.89,4.15,1,72
Mavda,TMPRSS2,ASAP-0013721,3.44,2.9,1,72
Mavda,TMPRSS2,ASAP-0013720,1.34,16.8,1,72
Mavda,TMPRSS2,ASAP-0013720,1.53,12.3,1,72
Mavda,TMPRSS2,ASAP-0013719,1.78,6.02,1,72
Mavda,TMPRSS2,ASAP-0013719,2.6,3.7,1,72
Mavda,TMPRSS2,ASAP-0013423,1.28,12.4,1,72
Mavda,TMPRSS2,ASAP-0013423,1.23,14.3,1,72
Mavda,TMPRSS2,ASAP-0013414,0.192,1.7,1,72
Mavda,TMPRSS2,ASAP-0013414,0.166,1.64,1,72
Mavda,TMPRSS2,ASAP-0013413,1.13,4.5,1,72
Mavda,TMPRSS2,ASAP-0013413,1.23,11,1,72
Mavda,TMPRSS2,ASAP-0013412,1.74,14.2,1,72
Mavda,TMPRSS2,ASAP-0013412,3.22,13.6,1,72
Mavda,TMPRSS2,ASAP-0013407,0.563,13.5,1,72
Mavda,TMPRSS2,ASAP-0013407,0.781,,1,72
Mavda,TMPRSS2,ASAP-0013405,1.31,30.7,1,72
Mavda,TMPRSS2,ASAP-0013405,1.29,13,1,72
Mavda,TMPRSS2,ASAP-0013398,0.484,11.5,1,72
Mavda,TMPRSS2,ASAP-0013398,0.505,14.1,1,72
Mavda,TMPRSS2,ASAP-0013397,0.557,15,1,72
Mavda,TMPRSS2,ASAP-0013397,0.522,13.6,1,72
Mavda,TMPRSS2,ASAP-0013307,0.798,,1,72
Mavda,TMPRSS2,ASAP-0013307,0.605,,1,72
Mavda,TMPRSS2,ASAP-0013305,1.44,12.5,1,72
Mavda,TMPRSS2,ASAP-0013305,1.64,2.99,1,72
Mavda,TMPRSS2,ASAP-0013301,2.15,5.58,1,72
Mavda,TMPRSS2,ASAP-0013301,1.22,10.8,1,72
Mavda,TMPRSS2,ASAP-0013300,1.17,14.9,1,72
Mavda,TMPRSS2,ASAP-0013300,1.24,11.3,1,72
Mavda,TMPRSS2,ASAP-0013299,0.046,16,1,72
Mavda,TMPRSS2,ASAP-0013299,0.049,15.8,1,72
Mavda,TMPRSS2,ASAP-0013298,0.323,1.92,1,72
Mavda,TMPRSS2,ASAP-0013298,0.471,10.7,1,72
Mavda,TMPRSS2,ASAP-0013274,0.465,2.7,1,72
Mavda,TMPRSS2,ASAP-0013274,0.643,,1,72
Mavda,TMPRSS2,ASAP-0013273,0.46,2.6,1,72
Mavda,TMPRSS2,ASAP-0013273,0.471,9.51,1,72
Mavda,TMPRSS2,ASAP-0013272,1.02,27.2,1,72
Mavda,TMPRSS2,ASAP-0013272,1.14,15.1,1,72
Mavda,TMPRSS2,ASAP-0013266,2.78,2.12,1,72
Mavda,TMPRSS2,ASAP-0013266,2.5,2.38,1,72
Mavda,TMPRSS2,ASAP-0013265,0.284,1.2,1,72
Mavda,TMPRSS2,ASAP-0013265,0.491,2.18,1,72
Mavda,TMPRSS2,ASAP-0013263,1.07,9.87,1,72
Mavda,TMPRSS2,ASAP-0013263,1.2,15.5,1,72
Mavda,TMPRSS2,ASAP-0013262,1.26,19.5,1,72
Mavda,TMPRSS2,ASAP-0013262,1.28,11.1,1,72
Mavda,TMPRSS2,ASAP-0013249,0.936,3.94,1,72
Mavda,TMPRSS2,ASAP-0013249,0.813,3.71,1,72
Mavda,TMPRSS2,ASAP-0012339,1.48,15,1,72
Mavda,TMPRSS2,ASAP-0012339,1.61,3.63,1,72
Mavda,TMPRSS2,ASAP-0012337,0.589,4.02,1,72
Mavda,TMPRSS2,ASAP-0012337,0.498,11.2,1,72
Mavda,TMPRSS2,ASAP-0012335,0.836,,1,72
Mavda,TMPRSS2,ASAP-0012335,0.514,22.4,1,72
Mavda,TMPRSS2,ASAP-0012333,1.23,16.8,1,72
Mavda,TMPRSS2,ASAP-0012333,0.907,,1,72
Mavda,TMPRSS2,ASAP-0012331,1.05,2.91,1,72
Mavda,TMPRSS2,ASAP-0012331,1.22,4,1,72
Mavda,TMPRSS2,ASAP-0011528,0.465,2.44,1,72
Mavda,TMPRSS2,ASAP-0011528,0.433,2.24,1,72
Mavda,TMPRSS2,ASAP-0011513,0.525,24.2,1,72
Mavda,TMPRSS2,ASAP-0011513,0.557,16.4,1,72
Mavda,TMPRSS2,ASAP-0011485,0.207,1.06,1,72
Mavda,TMPRSS2,ASAP-0011485,0.109,1.87,1,72
