Molecule Name,pIC50,hill
ASAP-0013735,5.47,2.571
ASAP-0013731,6.23,3.78
ASAP-0013722,6.92,3.745
ASAP-0013721,5.46,5.207
ASAP-0013720,5.45,5.563
ASAP-0013719,5.52,7.124
ASAP-0013716,5.51,6.046
ASAP-0013715,5.77,7.928
ASAP-0013646,,1.302
ASAP-0013612,4.83,1.052
ASAP-0013423,6.01,4.043
ASAP-0013423,6.01,2.122
ASAP-0013414,6.9,2.509
ASAP-0013414,6.9,2.484
ASAP-0013413,6.5,2.825
ASAP-0013413,6.5,2.498
ASAP-0013412,6.37,4.683
ASAP-0013412,6.37,2.543
ASAP-0013407,5.98,4.242
ASAP-0013407,5.98,2.357
ASAP-0013405,5.8,19.776
ASAP-0013405,5.8,3.166
ASAP-0013398,6.72,2.9
ASAP-0013398,6.72,2.43
ASAP-0013397,6.53,3.086
ASAP-0013397,6.53,2.8
ASAP-0013307,6.31,3.943
ASAP-0013305,5.59,5.643
ASAP-0013301,6.46,2.901
ASAP-0013300,6.92,2.751
ASAP-0013299,7.26,3.085
ASAP-0013299,7.18,1.8
ASAP-0013299,7.18,1.965
ASAP-0013298,6.73,2.773
ASAP-0013279,4.54,0.792
ASAP-0013274,6.46,2.808
ASAP-0013273,6.82,2.528
ASAP-0013272,6.4,3.659
ASAP-0013267,5.89,2.686
ASAP-0013266,6.39,3.289
ASAP-0013265,6.53,3.278
ASAP-0013264,6.35,3.313
ASAP-0013263,5.98,9.959
ASAP-0013262,5.67,12.499
ASAP-0013249,6.43,1.29
ASAP-0012339,5.95,5.928
ASAP-0012337,6.22,14.498
ASAP-0012335,6.04,2.48
ASAP-0012333,5.98,3.047
ASAP-0012331,5.86,3.777
ASAP-0011532,5.04,8.005
ASAP-0011531,5.03,14.353
ASAP-0011529,5.47,2.375
ASAP-0011528,6.32,2.592
ASAP-0011513,6.42,2.888
ASAP-0011485,6.33,4.028
ASAP-0011445,6.52,2.987
ASAP-0011430,5.6,2.741
ASAP-0011368,5.76,6.894
ASAP-0011359,6.4,3.848
ASAP-0011347,5.6,10.647
ASAP-0011343,6.29,6.583
ASAP-0011202,5.65,7.498
ASAP-0011200,5.99,5.511
ASAP-0011143,5.64,13.267
ASAP-0011141,6.16,14.328
ASAP-0011141,6.16,4.435
ASAP-0011140,5.44,2.487
ASAP-0011139,5.58,3.076
ASAP-0011138,5.96,3.984
ASAP-0011138,5.96,2.804
ASAP-0011137,6.79,2.998
ASAP-0011137,6.79,2.435
ASAP-0011133,5.12,3.417
ASAP-0011130,4.45,1.587
ASAP-0011129,6.44,2.579
ASAP-0011127,5.88,2.973
ASAP-0011124,6.8,2.236
ASAP-0011067,5.24,3
ASAP-0011059,5.96,2.86
ASAP-0011056,5.23,3.599
ASAP-0011052,6.47,2.694
ASAP-0011052,6.47,3.666
ASAP-0011049,6.79,3.23
ASAP-0011049,6.79,2.619
ASAP-0011044,5.68,2.89
ASAP-0011043,5.05,2.881
ASAP-0011041,6.23,1.265
ASAP-0011040,5.42,2.371
ASAP-0011038,6.24,2.499
ASAP-0011038,6.24,3.119
ASAP-0011034,6.79,2.97
ASAP-0011034,6.79,2.707
ASAP-0011031,6.76,3.055
ASAP-0011031,6.76,2.446
ASAP-0011017,5.58,4.295
ASAP-0010940,4.76,3.284
ASAP-0010757,5.29,2.712
ASAP-0010754,4.75,2.802
ASAP-0010753,4.67,1.294
ASAP-0010753,4.67,0.96
ASAP-0010753,4.67,0.56
ASAP-0010752,6.69,2.392
ASAP-0010752,6.69,2.789
ASAP-0010752,6.69,2.347
ASAP-0010750,5.41,2.172
ASAP-0010746,4.94,2.85
ASAP-0010743,6.88,2.433
ASAP-0010743,6.88,2.277
ASAP-0010743,6.88,2.215
ASAP-0010742,5.42,2.282
